name,lat,lon,importance,number of Comments
Garching Campus,48.26655736,11.668856,10000,10000
Alter Botanischer Garten,48.14864015,11.56468421,5000,3527
Flaucher,48.10880012,11.55703891,8000,6998
Denninger Anger,48.1501399,11.62242962,500,309
Westpark,48.13058012,11.5140152,10000,8319
Hofgarten,48.15019119,11.58095735,9500,7181
Englischer Garten,48.17008396,11.60683516,50000,49004
Maßmann Park,48.15949644,11.55678012,1400,801
Luitpold Park,48.17721537,11.56963942,3500,2964
Petuelpark,48.1837258,11.57893835,2000,1036
Grünwald Park,48.16556619,11.52782003,500,382
Bordeauxplatz,48.13054072,11.60094572,850,633
Schlosspark Nymphenburg,48.16296592,11.49440456,27500,22065
Heckenstaller Park,48.1225021,11.53327796,500,294
Pasinger Stadtpark,48.1477538,11.45345796,2000,1243
Olympiapark,48.18248578,11.54964671,60000,48843
Riemer Park,48.13222832,11.69677035,850,639
Crown Park. Am Nockherberg,48.12567927,11.57956251,500,379
Bavariapark,48.13654042,11.54422655,1500,889
Süd Park,48.11470933,11.50924536,2000,1094
Zamila Park,48.14758549,11.64635816,500,265
Weißensee Park,48.10965244,11.58575004,1000,772
Ostpark,48.12341882,11.64382788,5500,3900
Landschaftspark Hachinger Tal,48.07575285,11.63725792,2000,1076
Umweltgarten,48.08658675,11.65469766,1500,825
Landebahn Neubiberg,48.08264509,11.64348688,500,247
Bajuwaren Park,48.13058012,11.65958404,300,115
Ortspark,48.07650193,11.60675525,1200,559
Freizeitgelände Eching,48.30414615,11.62964366,200,81
Valentinspark,48.27228368,11.5801372,2000,570
Schlosspark Ismaning,48.23353874,11.67306127,300,173
Goldach Park,48.31845786,11.74598021,500,135
Oberdieckgarten,48.39909998,11.73248954,200,93
Marienhof,48.13898303,11.57636551,2500,1085
Georg Freundorfer Platz,48.14034652,11.53965711,300,159
Lenbachhaus,48.14671344,11.56398686,5000,2045
Bavarian National Museum,48.14372443,11.59123843,3750,1445
Glyptothek,48.146391,11.56569573,1500,660
Museum für Abgüsse Klassischer Bildwerke München,48.14495471,11.56645918,200,66
NS-Dokumentationszentrum München,48.14603125,11.56741339,5500,2205
Staatliche Antikensammlungen,48.14595972,11.5650712,600,255
Neue Pinakothek,48.15040875,11.57106749,3000,1871
GALERIE HEGEMANN,48.13618941,11.57035048,100,18
Königsplatz,48.14598812,11.56522518,15000,6692
Geologisches Museum München,48.14781043,11.56466297,200,55
Palaeontological Museum,48.14788201,11.56350426,1500,620
Egyptian Museum Munich,48.1473666,11.56818203,6000,2527
Kunstareal,48.14796791,11.56755976,100,20
Deutsches Museum Flugwerft Schleißheim,48.2520577,11.55525746,7500,3332
Marstallmuseum,48.16051638,11.50428797,300,112
Museum Brandhorst,48.1490678,11.57440919,3750,1420
Deutsches Museum,48.13019871,11.58350725,50000,24975
Munich Stadtmuseum,48.13636286,11.5729637,2500,1098
Deutsches Museum Verkehrszentrum,48.13512169,11.54181227,6000,2732
Residenzmuseum,48.14225797,11.57854306,1200,496
Haus der Kunst,48.14559306,11.58551726,5500,2256
Museum of Man and Nature,48.16135397,11.50414999,1500,689
Alte Pinakothek,48.14837804,11.56997305,12000,6285
Pinakothek der Moderne,48.1472227,11.5722843,10000,5665
BMW Museum,48.17693714,11.55911661,50000,24421
Dachau Palace,48.26985983,11.43213567,2000,996
Schleissheim palace complex,48.26045018,11.57136852,7500,3283
Fürstenried Palace,48.1076926,11.48101355,500,210
Munich Residenz,48.14351136,11.57973609,30000,10349
Dream-Bowl Palace,48.17972266,11.63842677,7000,3085
Nymphenburg Palace,48.1595184,11.50348289,45000,22065
Marienplatz,48.13882203,11.57623742,100000,90250
Wiener Platz,48.13599365,11.59684077,3000,1701
Maximilian Square,48.14254516,11.57147171,3500,1242
Odeonsplatz,48.14366981,11.57786473,30000,11947
Max-Joseph-Platz,48.14091633,11.57809721,300,168
Weißenburger Platz,48.13052736,11.59654112,2000,744
Karlsplatz,48.14010189,11.56612483,36000,12524
Wittelsbacherplatz,48.14405761,11.57588871,3500,1311
Sendlinger Tor,48.13544163,11.56739024,400,110
Gärtnerplatz,48.13316464,11.57576918,750,304
St. Paul,48.13815633,11.55182355,3000,1017
St. Peter's Church,48.13674196,11.57601613,12000,3776
Munich Central Station,48.1404678,11.55998893,7000,2306
Technical University of Munich Garching,48.26917039,11.67157229,20000,136
Hochschule für angewandtes Management,48.23709284,11.68317446,3100,32
ZHS - Central University Sports Munich,48.18243344,11.54419162,37500,229
Ukrainian Free University,48.16995867,11.50960065,300,14
Munich Business School,48.141019,11.52384008,600,37
Munich University of Applied Sciences,48.15891492,11.55165662,18000,137
Ludwig Maximilian University of Munich,48.15427584,11.58046662,50000,381
ISM,48.14675587,11.56254487,3500,23
Technische Universität München,48.15228379,11.56851805,20000,674
Macromedia University of Applied Sciences,48.14892635,11.55531888,2000,63
EU Business School,48.13218794,11.5448377,3000,80
Technical University of Munich - Research Station Dürnast,48.41088377,11.69240226,1000,4
Hochschule Weihenstephan-Triesdorf,48.39625515,11.73095282,6500,59
Technische Universität München(Freising),48.39873256,11.72534362,3000,1
Allianz Arena,48.21956429,11.62475547,75000,51520
Viktualienmarkt,48.13580134,11.5763407,75000,47241
Munchener Tierpark Hellabrunn,48.09756478,11.55393952,50000,25213
New Town Hall (Neus Rathaus),48.13781757,11.57580921,4000,1314
Asamkirche,48.13578092,11.56950969,9000,3339
BMW Welt,48.17740098,11.55634979,48000,22915
Bavaria Statue,48.131099,11.54626188,4500,1687
Rathaus-Glockenspiel,48.13754873,11.57548383,2500,812
Botanischer Garten Muenchen-Nymphenburg,48.16391293,11.5010642,10000,4625
Frauenkirche,48.1386887,11.57365326,20000,8989
Isar Gate,48.136984,11.58190408,18000,6870
Karolinenplatz,48.1452922,11.56891975,1000,346
