LINIENNR_EFA,VERKEHRSMITTEL
X30,ExpressBus
X35,ExpressBus
X36,ExpressBus
X400,ExpressBus
X80,ExpressBus
X845,ExpressBus
X900,ExpressBus
X910,ExpressBus
X98,ExpressBus
50,MetroBus
51,MetroBus
52,MetroBus
53,MetroBus
54,MetroBus
55,MetroBus
56,MetroBus
57,MetroBus
58,MetroBus
59,MetroBus
60,MetroBus
62,MetroBus
63,MetroBus
68,MetroBus
210,MVV-Regionalbus
211,MVV-Regionalbus
212,MVV-Regionalbus
213,MVV-Regionalbus
214,MVV-Regionalbus
215,MVV-Regionalbus
216,MVV-Regionalbus
217,MVV-Regionalbus
218,MVV-Regionalbus
219,MVV-Regionalbus
220,MVV-Regionalbus
221,MVV-Regionalbus
222,MVV-Regionalbus
223,MVV-Regionalbus
224,MVV-Regionalbus
225,MVV-Regionalbus
226,MVV-Regionalbus
227,MVV-Regionalbus
229,MVV-Regionalbus
230,MVV-Regionalbus
231,MVV-Regionalbus
232,MVV-Regionalbus
233,MVV-Regionalbus
234,MVV-Regionalbus
236,MVV-Regionalbus
240,MVV-Regionalbus
241,MVV-Regionalbus
242,MVV-Regionalbus
243,MVV-Regionalbus
244,MVV-Regionalbus
258,MVV-Regionalbus
259,MVV-Regionalbus
260,MVV-Regionalbus
261,MVV-Regionalbus
262,MVV-Regionalbus
263,MVV-Regionalbus
264,MVV-Regionalbus
265,MVV-Regionalbus
266,MVV-Regionalbus
267,MVV-Regionalbus
268,MVV-Regionalbus
269,MVV-Regionalbus
270,MVV-Regionalbus
271,MVV-Regionalbus
290,MVV-Regionalbus
291,MVV-Regionalbus
292,MVV-Regionalbus
293,MVV-Regionalbus
294,MVV-Regionalbus
295,MVV-Regionalbus
301,MVV-Regionalbus
302,MVV-Regionalbus
310,MVV-Regionalbus
370,MVV-Regionalbus
372,MVV-Regionalbus
373,MVV-Regionalbus
374,MVV-Regionalbus
375,MVV-Regionalbus
376,MVV-Regionalbus
377,MVV-Regionalbus
378,MVV-Regionalbus
379,MVV-Regionalbus
381,MVV-Regionalbus
411,MVV-Regionalbus
413,MVV-Regionalbus
440,MVV-Regionalbus
442,MVV-Regionalbus
443,MVV-Regionalbus
444,MVV-Regionalbus
445,MVV-Regionalbus
446,MVV-Regionalbus
447,MVV-Regionalbus
451,MVV-Regionalbus
452,MVV-Regionalbus
453,MVV-Regionalbus
